model	nudge	effect	mode	setting	bot	top	source
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	B512	0.833	0.938	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.667	0.958	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.625	0.896	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.031	0.076	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	B256	0.688	0.792	native-nothink-extreme(src=qwen35_4b)
qwen35_4b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.750	0.896	native-nothink-extreme(src=qwen35_4b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	nothink	0.349	0.593	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	B256	0.354	0.542	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	B512	0.354	0.479	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	B1024	0.292	0.458	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	B2048	0.271	0.521	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	B256	0.333	0.542	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_five7	five7	budget	B1024	0.188	0.500	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.029	0.755	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	B256	0.292	0.958	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	B512	0.250	0.958	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.229	1.000	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.250	0.979	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.500	0.453	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	B256	0.229	0.896	native-nothink-extreme(src=qwen35_9b)
qwen35_9b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.292	0.938	native-nothink-extreme(src=qwen35_9b)
qwen3_06b	phrasing_L20_O10_five7	five7	budget	nothink	0.905	1.000	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_five7	five7	budget	B256	1.000	1.000	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_five7	five7	budget	B512	0.854	1.000	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_five7	five7	budget	B1024	0.875	0.938	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_five7	five7	budget	B2048	0.896	0.979	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.223	0.988	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_trolley	trolley	budget	B256	0.625	0.958	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_trolley	trolley	budget	B512	0.708	0.854	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.792	0.833	native-nothink-extreme(src=qwen3_06b)
qwen3_06b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.812	0.875	native-nothink-extreme(src=qwen3_06b)
qwen3_14b	phrasing_L20_O10_five7	five7	budget	nothink	0.003	1.000	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_five7	five7	budget	B256	0.083	0.958	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_five7	five7	budget	B512	0.042	0.667	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_five7	five7	budget	B1024	0.000	0.333	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_five7	five7	budget	B2048	0.062	0.208	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.000	0.998	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_trolley	trolley	budget	B256	0.583	1.000	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_trolley	trolley	budget	B512	0.854	1.000	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.938	1.000	native-nothink-extreme(src=qwen3_14b)
qwen3_14b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.938	1.000	native-nothink-extreme(src=qwen3_14b)
qwen3_17b	phrasing_L20_O10_five7	five7	budget	nothink	0.998	1.000	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_five7	five7	budget	B256	1.000	1.000	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_five7	five7	budget	B512	0.979	1.000	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_five7	five7	budget	B1024	0.938	0.979	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_five7	five7	budget	B2048	0.938	0.979	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.998	1.000	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_trolley	trolley	budget	B256	0.479	0.979	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_trolley	trolley	budget	B512	0.542	0.688	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.542	0.646	native-nothink-extreme(src=qwen3_17b)
qwen3_17b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.604	0.604	native-nothink-extreme(src=qwen3_17b)
qwen3_32b	phrasing_L20_O10_five7	five7	budget	nothink	0.007	0.378	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_five7	five7	budget	B256	0.000	0.167	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_five7	five7	budget	B512	0.021	0.188	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_five7	five7	budget	B1024	0.021	0.104	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_five7	five7	budget	B2048	0.042	0.042	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.940	1.000	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_trolley	trolley	budget	B256	0.917	0.979	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_trolley	trolley	budget	B512	0.875	0.979	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.958	0.979	native-nothink-extreme(src=qwen3_32b)
qwen3_32b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.958	0.979	native-nothink-extreme(src=qwen3_32b)
qwen3_4b	phrasing_L20_O10_five7	five7	budget	nothink	0.971	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_five7	five7	budget	B256	1.000	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_five7	five7	budget	B512	0.979	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_five7	five7	budget	B1024	0.812	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_five7	five7	budget	B2048	0.688	0.917	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_trolley	trolley	budget	nothink	1.000	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_trolley	trolley	budget	B256	1.000	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_trolley	trolley	budget	B512	0.979	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.979	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_4b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.979	1.000	native-nothink-extreme(src=qwen3_4b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	nothink	0.037	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B256	0.083	0.958	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B1024	0.104	0.833	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B2048	0.208	0.604	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B4096	0.417	0.562	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	nothink	0.037	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B1024	0.104	0.833	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	nothink	0.037	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B2048	0.208	0.604	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	nothink	0.037	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B256	0.083	0.958	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	nothink	0.037	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B4096	0.417	0.562	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	nothink	0.037	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L100_O10_five7	five7	budget	B512	0.125	0.917	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	nothink	0.500	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	B256	0.188	0.938	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	B1024	0.062	0.750	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	B2048	0.104	0.583	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	B4096	0.125	0.625	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	nothink	0.500	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_five7	five7	budget	B512	0.354	0.896	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.047	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B256	0.792	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.872	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.896	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B4096	0.896	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.047	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.872	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.047	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.896	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.047	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B256	0.792	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.047	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B4096	0.896	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.047	1.000	native-nothink-extreme(src=qwen3_8b)
qwen3_8b	phrasing_L20_O10_trolley	trolley	budget	B512	0.833	1.000	native-nothink-extreme(src=qwen3_8b)
r1_qwen14b	phrasing_L20_O10_five7	five7	budget	nothink	0.223	1.000	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_five7	five7	budget	B256	0.458	0.479	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_five7	five7	budget	B512	0.479	0.396	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_five7	five7	budget	B1024	0.479	0.521	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_five7	five7	budget	B2048	0.479	0.542	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.000	0.999	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_trolley	trolley	budget	B256	0.833	0.979	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_trolley	trolley	budget	B512	0.896	1.000	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.771	1.000	transfer(src=qwen25_14b)
r1_qwen14b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.771	0.979	transfer(src=qwen25_14b)
r1_qwen15b	phrasing_L20_O10_five7	five7	budget	nothink	0.107	0.531	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_five7	five7	budget	B256	0.711	0.875	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_five7	five7	budget	B512	0.568	0.674	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_five7	five7	budget	B1024	0.682	0.739	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_five7	five7	budget	B2048	0.585	0.522	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.835	0.967	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_trolley	trolley	budget	B256	0.500	0.660	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_trolley	trolley	budget	B512	0.500	0.625	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.688	0.745	transfer(src=qwen25_15b)
r1_qwen15b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.750	0.792	transfer(src=qwen25_15b)
r1_qwen32b	phrasing_L20_O10_five7	five7	budget	nothink	0.000	0.060	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_five7	five7	budget	B256	0.750	0.708	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_five7	five7	budget	B512	0.479	0.667	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_five7	five7	budget	B1024	0.417	0.688	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_five7	five7	budget	B2048	0.438	0.646	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.000	1.000	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_trolley	trolley	budget	B256	0.542	1.000	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_trolley	trolley	budget	B512	0.417	1.000	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.167	0.917	transfer(src=qwen25_32b)
r1_qwen32b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.188	0.854	transfer(src=qwen25_32b)
r1_qwen7b	phrasing_L20_O10_five7	five7	budget	nothink	0.029	0.989	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_five7	five7	budget	B256	0.542	0.833	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_five7	five7	budget	B512	0.479	0.833	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_five7	five7	budget	B1024	0.583	0.812	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_five7	five7	budget	B2048	0.562	0.854	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_trolley	trolley	budget	nothink	0.000	0.223	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_trolley	trolley	budget	B256	0.979	0.979	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_trolley	trolley	budget	B512	0.938	0.979	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_trolley	trolley	budget	B1024	0.896	0.917	transfer(src=qwen25_7b)
r1_qwen7b	phrasing_L20_O10_trolley	trolley	budget	B2048	0.917	0.896	transfer(src=qwen25_7b)
qwen3_8b	think_logistic_five7_B1024	five7	native-logistic	B1024	0.104	0.562	native-fit
qwen3_8b	think_logistic_five7_B1024	five7	native-logistic	B4096	0.042	0.396	native-fit
qwen3_8b	think_logistic_five7_B2048	five7	native-logistic	B2048	0.083	0.646	native-fit
qwen3_8b	think_logistic_five7_B2048	five7	native-logistic	B4096	0.062	0.688	native-fit
qwen3_8b	think_logistic_five7_B256	five7	native-logistic	B256	0.229	0.917	native-fit
qwen3_8b	think_logistic_five7_B256	five7	native-logistic	B4096	0.354	0.562	native-fit
qwen3_8b	think_logistic_five7_B512	five7	native-logistic	B512	0.292	0.875	native-fit
qwen3_8b	think_logistic_five7_B512	five7	native-logistic	B4096	0.250	0.458	native-fit
qwen3_8b	think_logistic_trolley_B512	trolley	native-logistic	B512	1.000	1.000	native-fit
qwen3_8b	think_logistic_trolley_B512	trolley	native-logistic	B4096	1.000	0.979	native-fit
r1_qwen32b	think_logistic_trolley_B2048	trolley	native-logistic	B2048	0.333	0.917	native-fit
r1_qwen32b	think_logistic_trolley_B2048	trolley	native-logistic	B4096	0.312	0.833	native-fit
gpt-56-sol	pool_verbprimes_trolley_flip_medium	trolley_flip	pool-logistic	medium	0.021	0.667	native-fit
gptoss_120b	pool_animals_five7_low	five7	pool-logistic	low	0.000	0.062	native-fit
gptoss_120b	pool_animals_five7_low	five7	pool-logistic	medium	0.000	0.021	native-fit
gptoss_120b	pool_animals_five7_low	five7	pool-logistic	high	0.049	0.140	native-fit
gptoss_120b	pool_animals_trolley_low	trolley	pool-logistic	low	0.438	1.000	native-fit
gptoss_120b	pool_animals_trolley_low	trolley	pool-logistic	medium	1.000	1.000	native-fit
gptoss_120b	pool_animals_trolley_low	trolley	pool-logistic	high	1.000	1.000	native-fit
gptoss_120b	pool_professions_trolley_low	trolley	pool-logistic	low	0.188	0.708	native-fit
gptoss_120b	pool_professions_trolley_low	trolley	pool-logistic	medium	1.000	1.000	native-fit
gptoss_120b	pool_professions_trolley_low	trolley	pool-logistic	high	1.000	1.000	native-fit
gptoss_120b	pool_quantity_trolley_low	trolley	pool-logistic	low	0.875	0.812	native-fit
gptoss_120b	pool_quantity_trolley_low	trolley	pool-logistic	medium	1.000	1.000	native-fit
gptoss_120b	pool_quantity_trolley_low	trolley	pool-logistic	high	1.000	1.000	native-fit
gptoss_120b	pool_verbprimes_trolley_low	trolley	pool-logistic	low	0.250	1.000	native-fit
gptoss_120b	pool_verbprimes_trolley_low	trolley	pool-logistic	medium	0.646	1.000	native-fit
gptoss_120b	pool_verbprimes_trolley_low	trolley	pool-logistic	high	0.979	1.000	native-fit
gptoss_20b	pool_animals_five7_low	five7	pool-logistic	low	0.062	0.396	native-fit
gptoss_20b	pool_animals_five7_low	five7	pool-logistic	medium	0.208	0.682	native-fit
gptoss_20b	pool_animals_five7_low	five7	pool-logistic	high	0.500	0.645	native-fit
gptoss_20b	pool_animals_trolley_low	trolley	pool-logistic	low	1.000	0.975	native-fit
gptoss_20b	pool_animals_trolley_low	trolley	pool-logistic	medium	1.000	0.958	native-fit
gptoss_20b	pool_animals_trolley_low	trolley	pool-logistic	high	1.000	0.933	native-fit
